accession	description
"GCA_964034635.1"	"LF82_P5 assembly for Felixounavirus LF82P5"
"GCA_964034645.1"	"LI10_P5 assembly for Vectrevirus LI10P5"
"GCA_964034655.1"	"LM40_P1 assembly for Dhillonvirus LM40P1"
"GCA_964034685.1"	"LM08_P1 assembly for Kagunavirus LM08P1"
"GCA_964034695.1"	"LM33_P1 assembly for Kayfunavirus LM33P1"
"GCA_964034705.1"	"MT1B1_P3 assembly for Kayfunavirus MT1B1P3"
"GCA_964034745.1"	"BDX03_P1 assembly for Kayfunavirus BDX03P1"
"GCA_964034755.1"	"NAN33_P4 assembly for Przondovirus NAN33P2"
"GCA_964033825.1"	"536_P1 assembly for Phapecoctavirus 536P1"
"GCA_964033835.1"	"CLB_P1 assembly for Kayfunavirus CLBP1"
"GCA_964033845.1"	"PDP351_P3 assembly for Kayfunavirus PDP351P3"
"GCA_964033895.1"	"NAN33_P6 assembly for Przondovirus NAN33P6"
"GCA_964033905.1"	"LF31_P1 assembly for Wifcevirus WFH"
"GCA_964033915.1"	"LM08_P2 assembly for Kagunavirus LM08P2"
"GCA_964033965.1"	"DIJ07_P1 assembly for Phapecoctavirus DIJ07P1"
"GCA_964033975.1"	"LF110_P1 assembly for Felixounavirus LF110P1"
"GCA_964033985.1"	"LM40_P2 assembly for Dhillonvirus LM40P1"
"GCA_964033995.1"	"T145_P2 assembly for Vectrevirus T145P2"
"GCA_964034045.1"	"LF73_P3 assembly for Tequatrovirus LF73P3"
"GCA_964034075.1"	"LF82_P9 assembly for Felixounavirus LF82P9"
"GCA_964034085.1"	"LF82_P6 assembly for Felixounavirus LF82P5"
"GCA_964034095.1"	"NAN33_P5 assembly for Gamaleyavirus NAN33P5"
"GCA_003595565.1"	"ASM359556v1 assembly for Vibrio anguillarum"
"GCA_964033805.1"	"LF73_P1 assembly for Tequatrovirus LF73P1"
"GCA_964033815.1"	"T205_P4 assembly for Vectrevirus T205P4"
"GCA_964033855.1"	"T7LD assembly for Teseptimavirus T7"
"GCA_964033865.1"	"T147_P10 assembly for Vectrevirus T147P9"
"GCA_964033875.1"	"NRG857C_P3 assembly for Kagunavirus NRG857CP3"
"GCA_964033885.1"	"LI10_P6 assembly for Vectrevirus LI10P3"
"GCA_964033925.1"	"AN17_P8 assembly for Felixounavirus AN17P8"
"GCA_964033935.1"	"AN24_P4 assembly for Kayfunavirus AN24P4"
"GCA_964033945.1"	"LF82_P2 assembly for Felixounavirus LF82P2"
"GCA_964033955.1"	"AN24_P2 assembly for Gamaleyavirus AN24P2"
"GCA_964034005.1"	"PDP110_P2 assembly for Wanchaivirus PDP110P2"
"GCA_964034015.1"	"LM07_P1 assembly for Przondovirus KP32i192"
"GCA_964034025.1"	"LF50_P3 assembly for Dhillonvirus LF50P3"
"GCA_964034035.1"	"PDP351_P4 assembly for Kayfunavirus PDP351P4"
"GCA_964034055.1"	"LF82_P8 assembly for Mosigvirus mar005p1"
"GCA_964034065.1"	"BCH953_P3 assembly for Kagunavirus BCH953P1"
"GCA_020491885.1"	"ASM2049188v1 assembly for Pseudomonas phage PSA11"
"GCA_020491915.1"	"ASM2049191v1 assembly for Pseudomonas phage PSA13"
"GCA_020491925.1"	"ASM2049192v1 assembly for Pseudomonas phage PSA16"
"GCA_020491955.1"	"ASM2049195v1 assembly for Pseudomonas phage PSA31"
"GCA_020491965.1"	"ASM2049196v1 assembly for Pseudomonas phage PSA34"
"GCA_020491975.1"	"ASM2049197v1 assembly for Pseudomonas phage PSA37"
"GCA_020491985.1"	"ASM2049198v1 assembly for Pseudomonas phage PSA40"
"GCA_020492165.1"	"ASM2049216v1 assembly for Pseudomonas phage PSA04"
"GCA_020492175.1"	"ASM2049217v1 assembly for Pseudomonas phage PSA20"
"GCA_020492185.1"	"ASM2049218v1 assembly for Pseudomonas phage PSA28"
"GCA_020492195.1"	"ASM2049219v1 assembly for Pseudomonas phage PSA39"
"GCA_020495365.1"	"ASM2049536v1 assembly for Pseudomonas phage Psa21-HRN"
"GCA_020495405.1"	"ASM2049540v1 assembly for Pseudomonas phage PSA07_PB1"
"GCA_020495415.1"	"ASM2049541v1 assembly for Pseudomonas phage PSA09"
"GCA_020495425.1"	"ASM2049542v1 assembly for Pseudomonas phage PSA25"
"GCA_964034125.1"	"NIC06_P2 assembly for Tequatrovirus NIC06P2"
"GCA_964034135.1"	"AN17_P1 assembly for Kayfunavirus AN17P1"
"GCA_964034165.1"	"LF82_P1 assembly for Felixounavirus LF82P1"
"GCA_964034195.1"	"T145_P4 assembly for Veterinaerplatzvirus T145P1"
"GCA_964034225.1"	"PDP21_P3 assembly for Vectrevirus PDP21P3"
"GCA_964034235.1"	"536_P9 assembly for Justusliebigvirus VEcB"
"GCA_964034245.1"	"T145_P1 assembly for Veterinaerplatzvirus T145P1"
"GCA_964034255.1"	"536_P6 assembly for Justusliebigvirus alia"
"GCA_964034285.1"	"DIJ07_P2 assembly for Phapecoctavirus DIJ07P2"
"GCA_964034295.1"	"LF31_P3 assembly for Vectrevirus LF31P3"
"GCA_964034315.1"	"T147_P9 assembly for Vectrevirus T147P9"
"GCA_964034325.1"	"CLB_P2 assembly for Dhakavirus CLBP2"
"GCA_964034355.1"	"LF110_P2 assembly for Felixounavirus LF110P2"
"GCA_964034365.1"	"BCH953_P2 assembly for Tequatrovirus BCH953P2"
"GCA_964034375.1"	"NAN33_P1 assembly for Przondovirus NAN33P1"
"GCA_964034415.1"	"T145_P5 assembly for Veterinaerplatzvirus T145P1"
"GCA_964034425.1"	"T147_P1 assembly for Vectrevirus T147P1"
"GCA_964034435.1"	"LF110_P4 assembly for Felixounavirus LF110P4"
"GCA_964034475.1"	"536_P7 assembly for Justusliebigvirus alia"
"GCA_964034485.1"	"LI10_P2 assembly for Kayfunavirus LI10P1"
"GCA_964034495.1"	"LI10_P4 assembly for Vectrevirus LI10P3"
"GCA_964034505.1"	"T147_P5 assembly for Kayfunavirus T147P5"
"GCA_964034515.1"	"LI10_P3 assembly for Vectrevirus LI10P3"
"GCA_964034535.1"	"PDP21_P5 assembly for Vectrevirus PDP21P3"
"GCA_964034545.1"	"AN24_P3 assembly for Gamaleyavirus AN24P2"
"GCA_964034595.1"	"BCH953_P1 assembly for Kagunavirus BCH953P1"
"GCA_964034605.1"	"T147_P7 assembly for Vectrevirus T147P1"
"GCA_964034615.1"	"LI10_P1 assembly for Kayfunavirus LI10P1"
"GCA_964034625.1"	"AL505_P3 assembly for Vectrevirus T145P2"
"GCA_964034665.1"	"NAN33_P2 assembly for Przondovirus NAN33P2"
"GCA_964034675.1"	"DIJ06_P1 assembly for Vectrevirus DIJ06P1"
"GCA_964034715.1"	"LM02_P1 assembly for Kagunavirus LM02P1"
"GCA_964034725.1"	"PDP21_P1 assembly for Kayfunavirus PDP21P1"
"GCA_964034735.1"	"PDP21_P6 assembly for Vectrevirus PDP21P6"
"GCA_001997225.1"	"ASM199722v1 assembly for Vibrio anguillarum"
"GCA_021365555.1"	"ASM2136555v1 assembly for Desulfovibrio desulfuricans"
"GCA_014230225.1"	"ASM1423022v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_014230255.1"	"ASM1423025v1 assembly for Salmonella enterica subsp. enterica serovar Enteritidis"
"GCA_014230265.1"	"ASM1423026v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_003990525.1"	"ASM399052v1 assembly for Pectobacterium polaris"
"GCA_003990505.1"	"ASM399050v1 assembly for Pectobacterium versatile"
"GCA_000901215.2"	"ViralProj184145 assembly for Yersinia phage phi80-18"
"GCA_000901215.1"	"ViralProj184145 assembly for Yersinia phage phi80-18"
"GCA_002990805.1"	"ASM299080v1 assembly for Yersinia phage fPS-54-ocr"
"GCA_902143405.1"	"fHe-Yen9-04 assembly for Yersinia phage fHe-Yen9-04"
"GCA_900323715.1"	"fEV_1 assembly for Yersinia phage fEV-1"
"GCA_900682555.1"	"Stab20 assembly for Staphylococcus phage Stab20"
"GCA_900682595.1"	"Stab21 assembly for Staphylococcus phage Stab21"
"GCA_900682625.1"	"fPS90 assembly for Yersinia phage fPS-90"
"GCA_900682635.1"	"Stab23 assembly for Staphylococcus phage Stab22"
"GCA_002990525.1"	"ASM299052v1 assembly for Yersinia phage fPS-9"
"GCA_002990555.1"	"ASM299055v1 assembly for Yersinia phage fPS-26"
"GCA_002990585.1"	"ASM299058v1 assembly for Yersinia phage fPS-52"
"GCA_002990635.1"	"ASM299063v1 assembly for Yersinia phage fPS-7"
"GCA_002990645.1"	"ASM299064v1 assembly for Yersinia phage fPS-89"
"GCA_002990675.1"	"ASM299067v1 assembly for Yersinia phage fPS-86"
"GCA_002990715.1"	"ASM299071v1 assembly for Yersinia phage fPS-21"
"GCA_002990725.1"	"ASM299072v1 assembly for Yersinia phage fPS-59"
"GCA_002990765.1"	"ASM299076v1 assembly for Yersinia phage fPS-53"
"GCA_002990775.1"	"ASM299077v1 assembly for Yersinia phage fPS-85"
"GCA_002990815.1"	"ASM299081v1 assembly for Yersinia phage fPS16"
"GCA_002990835.1"	"ASM299083v1 assembly for Yersinia phage fPS-10"
"GCA_002990485.1"	"ASM299048v1 assembly for Yersinia phage fHe-Yen9-04"
"GCA_002990515.1"	"ASM299051v1 assembly for Yersinia phage fHe-Yen9-03"
"GCA_002990595.1"	"ASM299059v1 assembly for Yersinia phage fPS-19"
"GCA_002990695.1"	"ASM299069v1 assembly for Yersinia phage fPS-50"
"GCA_002990735.1"	"ASM299073v1 assembly for Yersinia phage fPS-64"
"GCA_900682605.1"	"Stab22 assembly for Staphylococcus phage Stab23"
"GCA_900682645.1"	"fPS2 assembly for Yersinia phage fPS-2"
"GCA_900682655.1"	"fPS65 assembly for Yersinia phage fPS-65"
"GCA_013150865.1"	"ASM1315086v1 assembly for Escherichia phage T2"
"GCA_013150875.1"	"ASM1315087v1 assembly for Enterobacteria phage T6"
"GCA_000902175.1"	"ViralProj183543 assembly for Pseudomonas phage vB_PaeP_p2-10_Or1"
"GCA_003047875.1"	"ASM304787v1 assembly for Pseudomonas phage vB_PaeP_C1-14_Or"
"GCA_013112195.1"	"ASM1311219v1 assembly for Salmonella phage vB_SenS-3"
"GCA_018403005.1"	"ASM1840300v1 assembly for Enterococcus faecium"
"GCA_013085015.1"	"ASM1308501v1 assembly for Salmonella phage vB_SenM-1"
"GCA_024384155.1"	"ASM2438415v1 assembly for Enterobacter phage ENC31"
"GCA_024384165.1"	"ASM2438416v1 assembly for Enterobacter phage ENC25"
"GCA_024384175.1"	"ASM2438417v1 assembly for Enterobacter phage ENC22"
"GCA_024384195.1"	"ASM2438419v1 assembly for Enterobacter phage ENC2-2_a"
"GCA_024384205.1"	"ASM2438420v1 assembly for Enterobacter phage ENC19"
"GCA_024384215.1"	"ASM2438421v1 assembly for Enterobacter phage ENC18"
"GCA_024384225.1"	"ASM2438422v1 assembly for Enterobacter phage ENC16"
"GCA_024384235.1"	"ASM2438423v1 assembly for Enterobacter phage ENC13"
"GCA_024384125.1"	"ASM2438412v1 assembly for Enterobacter phage ENC14"
"GCA_024384135.1"	"ASM2438413v1 assembly for Enterobacter phage ENC9"
"GCA_024384145.1"	"ASM2438414v1 assembly for Enterobacter phage ENC7"
"GCA_024384185.1"	"ASM2438418v1 assembly for Enterobacter phage ENC20"
"GCA_947044205.1"	"TU194 assembly for Salmonella enterica subsp. enterica serovar Bredeney"
"GCA_947044265.1"	"SA192 assembly for Salmonella enterica subsp. enterica serovar Kentucky"
"GCA_947044355.1"	"SA193 assembly for Salmonella enterica subsp. enterica serovar Bredeney"
"GCA_947044425.1"	"TU195 assembly for Salmonella enterica subsp. enterica serovar Enteritidis"
"GCA_902825515.1"	"SV6879L assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_902825525.1"	"SV6822Z assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_947044235.1"	"SA191 assembly for Salmonella enterica subsp. enterica serovar Enteritidis"
"GCA_923083605.2"	"31087_8#209 assembly for Acinetobacter phage MD-2021b"
"GCA_923084885.2"	"31087_8#220 assembly for Acinetobacter phage MD-2021a"
"GCA_923084885.1"	"5899STDY8049186 assembly for Acinetobacter phage MD-2021a"
"GCA_923086165.2"	"31087_8#174 assembly for Acinetobacter phage MD-2021a"
"GCA_923086165.1"	"5899STDY8049191 assembly for Acinetobacter phage MD-2021a"
"GCA_923086195.2"	"31087_8#151 assembly for Acinetobacter phage MD-2021b"
"GCA_903978415.1"	"phage159 assembly for Enterococcus phage vB_EfaS_159"
"GCA_912237485.1"	"vB_Kpn_GBH054 assembly for Klebsiella pneumoniae phage"
"GCA_923083595.2"	"31087_8#165 assembly for Acinetobacter phage MD-2021a"
"GCA_923083595.1"	"5899STDY8049185 assembly for Acinetobacter phage MD-2021a"
"GCA_923083605.1"	"5899STDY8049178 assembly for Acinetobacter phage MD-2021b"
"GCA_923083645.2"	"31087_8#241 assembly for Acinetobacter phage MD-2021a"
"GCA_923083645.1"	"5899STDY8049193 assembly for Acinetobacter phage MD-2021a"
"GCA_923083655.2"	"31087_8#230 assembly for Acinetobacter phage MD-2021a"
"GCA_923083655.1"	"5899STDY8049188 assembly for Acinetobacter phage MD-2021a"
"GCA_923083905.2"	"31087_8#238 assembly for Acinetobacter phage MD-2021a"
"GCA_923083905.1"	"5899STDY8049192 assembly for Acinetobacter phage MD-2021a"
"GCA_923086195.1"	"5899STDY8049179 assembly for Acinetobacter phage MD-2021b"
"GCA_001881975.1"	"ViralProj353708 assembly for Salmonella phage BPS11Q3"
"GCA_001881995.1"	"ViralProj353712 assembly for Salmonella phage BPS15Q2"
"GCA_912237445.1"	"vB_Kpn_GBH001 assembly for Klebsiella pneumoniae phage"
"GCA_912237455.1"	"vB_Kpn_GBH038 assembly for Klebsiella pneumoniae phage"
"GCA_021029405.1"	"ASM2102940v1 assembly for Enterobacter phage KKP_3263"
"GCA_021029435.1"	"ASM2102943v1 assembly for Serratia phage KKP_3264"
"GCA_910591505.1"	"vB_Kpn_GBH014 assembly for Klebsiella pneumoniae phage"
"GCA_903970815.1"	"phage140 assembly for Enterococcus phage vB_EfaS_140"
"GCA_910591535.1"	"vB_Kpn_GBH029 assembly for Klebsiella pneumoniae phage"
"GCA_912237465.1"	"vB_Kpn_GBH019 assembly for Klebsiella pneumoniae phage"
"GCA_912237475.1"	"vB_Kpn_GBH033 assembly for Klebsiella pneumoniae phage"
"GCA_903978205.1"	"phage156 assembly for Enterococcus phage 156"
"GCA_903978245.1"	"phage149 assembly for Enterococcus phage vB_EfaH_149"
"GCA_903978265.1"	"phage268 assembly for Enterococcus phage vB_EhiS_268"
"GCA_903978275.1"	"phageQ69 assembly for Enterococcus phage Q69"
"GCA_903978285.1"	"phage163 assembly for Enterococcus phage 163"
"GCA_021029415.1"	"ASM2102941v1 assembly for Enterobacter phage KKP_3262"
"GCA_021029425.1"	"ASM2102942v1 assembly for Citrobacter phage KKP_3664"
"GCA_016918175.1"	"ASM1691817v1 assembly for Bacteroides phage F2"
"GCA_030864485.1"	"ASM3086448v1 assembly for Klebsiella phage KP12"
"GCA_019670505.1"	"ASM1967050v1 assembly for Helicobacter pylori"
"GCA_026273245.1"	"ASM2627324v1 assembly for Escherichia phage phiWec174"
"GCA_026273255.1"	"ASM2627325v1 assembly for Escherichia phage phiWec177"
"GCA_026273265.1"	"ASM2627326v1 assembly for Escherichia phage phiWec179"
"GCA_026273305.1"	"ASM2627330v1 assembly for Escherichia phage phiWec188"
"GCA_026273315.1"	"ASM2627331v1 assembly for Escherichia phage phiWec189"
"GCA_026273335.1"	"ASM2627333v1 assembly for Escherichia phage phiWec191"
"GCA_026273345.1"	"ASM2627334v1 assembly for Escherichia phage phiWec193"
"GCA_026273235.1"	"ASM2627323v1 assembly for Escherichia phage phiWec172"
"GCA_026273275.1"	"ASM2627327v1 assembly for Escherichia phage phiWec181"
"GCA_026273285.1"	"ASM2627328v1 assembly for Escherichia phage phiWec186"
"GCA_026273295.1"	"ASM2627329v1 assembly for Escherichia phage phiWec187"
"GCA_026273325.1"	"ASM2627332v1 assembly for Escherichia phage phiWec190"
"GCA_026273355.1"	"ASM2627335v1 assembly for Escherichia phage phiWec196"
"GCA_000902875.1"	"ViralProj184146 assembly for Pseudomonas phage vB_PaeM_C2-10_Ab1"
"GCA_010671865.1"	"ASM1067186v1 assembly for Escherichia coli"
"GCA_010671855.1"	"ASM1067185v1 assembly for Escherichia coli"
"GCA_025434865.1"	"ASM2543486v1 assembly for Enterobacteria phage T3"
"GCA_025434935.1"	"ASM2543493v1 assembly for Mycobacterium phage B1"
"GCA_025434945.1"	"ASM2543494v1 assembly for Fromanvirus D29"
"GCA_025434955.1"	"ASM2543495v1 assembly for Pseudomonas phage gh-1"
"GCA_025434965.1"	"ASM2543496v1 assembly for Mycobacterium phage GS4E"
"GCA_025434995.1"	"ASM2543499v1 assembly for Salmonella phage SP6"
"GCA_025435005.1"	"ASM2543500v1 assembly for Escherichia phage T7"
"GCA_029816955.1"	"ASM2981695v1 assembly for Salmonella phage KKP_3822"
"GCA_029817055.1"	"ASM2981705v1 assembly for Salmonella phage KKP 3830"
"GCA_029816985.1"	"ASM2981698v1 assembly for Salmonella phage KKP 3829"
"GCA_029817085.1"	"ASM2981708v1 assembly for Salmonella phage KKP_3831"
"GCA_025434975.1"	"ASM2543497v1 assembly for Lambdavirus lambda"
"GCA_025434985.1"	"ASM2543498v1 assembly for Salmonella phage P22"
"GCA_014183335.1"	"ASM1418333v1 assembly for Salmonella phage vB_SenTO17"
"GCA_019973595.1"	"ASM1997359v1 assembly for Enterococcus faecium"
"GCA_031322405.1"	"ASM3132240v1 assembly for Aeromonas phage phiWae14"
"GCA_031322415.1"	"ASM3132241v1 assembly for Aeromonas phage phiWae15"
"GCA_014918305.1"	"ASM1491830v1 assembly for Salmonella phage vB_Sen-E22"
"GCA_014824535.1"	"ASM1482453v1 assembly for Enterococcus phage 9183"
"GCA_002105275.1"	"ASM210527v1 assembly for Salmonella enterica subsp. enterica serovar Enteritidis"
"GCA_014930245.1"	"ASM1493024v1 assembly for Enterococcus phage 9184"
"GCA_014824525.1"	"ASM1482452v1 assembly for Enterococcus phage 9181"
"GCA_041019685.1"	"ASM4101968v1 assembly for Burkholderia gladioli"
"GCA_041019705.1"	"ASM4101970v1 assembly for Burkholderia gladioli"
"GCA_041019735.1"	"ASM4101973v1 assembly for Burkholderia gladioli"
"GCA_041019815.1"	"ASM4101981v1 assembly for Burkholderia gladioli"
"GCA_005408985.1"	"ASM540898v1 assembly for Enterococcus phage 156"
"GCA_041019665.1"	"ASM4101966v1 assembly for Burkholderia gladioli"
"GCA_041019675.1"	"ASM4101967v1 assembly for Burkholderia gladioli"
"GCA_041019785.1"	"ASM4101978v1 assembly for Burkholderia gladioli"
"GCA_041021725.1"	"ASM4102172v1 assembly for Burkholderia gladioli"
"GCA_041021745.1"	"ASM4102174v1 assembly for Burkholderia gladioli"
"GCA_041021755.1"	"ASM4102175v1 assembly for Burkholderia gladioli"
"GCA_041021775.1"	"ASM4102177v1 assembly for Burkholderia gladioli"
"GCA_041021785.1"	"ASM4102178v1 assembly for Burkholderia gladioli"
"GCA_012037635.1"	"ASM1203763v1 assembly for Acinetobacter baumannii"
"GCA_012037655.1"	"ASM1203765v1 assembly for Acinetobacter baumannii"
"GCA_036313925.1"	"ASM3631392v1 assembly for Escherichia coli"
"GCA_007714145.1"	"ASM771414v1 assembly for Escherichia coli"
"GCA_007714165.1"	"ASM771416v1 assembly for Escherichia coli"
"GCA_021368175.1"	"ASM2136817v1 assembly for Staphylococcus aureus"
"GCA_021368195.1"	"ASM2136819v1 assembly for Staphylococcus aureus"
"GCA_021368215.1"	"ASM2136821v1 assembly for Staphylococcus aureus"
"GCA_017792285.1"	"ASM1779228v1 assembly for Mammaliicoccus vitulinus"
"GCA_021270905.1"	"ASM2127090v1 assembly for Staphylococcus haemolyticus"
"GCA_021384725.1"	"ASM2138472v1 assembly for Staphylococcus aureus"
"GCA_021384745.1"	"ASM2138474v1 assembly for Staphylococcus aureus"
"GCA_021384825.1"	"ASM2138482v1 assembly for Staphylococcus aureus"
"GCA_021367895.1"	"ASM2136789v1 assembly for Staphylococcus aureus"
"GCA_021367935.1"	"ASM2136793v1 assembly for Staphylococcus aureus"
"GCA_021367995.1"	"ASM2136799v1 assembly for Staphylococcus aureus"
"GCA_021368015.1"	"ASM2136801v1 assembly for Staphylococcus aureus"
"GCA_021368035.1"	"ASM2136803v1 assembly for Staphylococcus aureus"
"GCA_021368095.1"	"ASM2136809v1 assembly for Staphylococcus aureus"
"GCA_021368115.1"	"ASM2136811v1 assembly for Staphylococcus aureus"
"GCA_021368125.1"	"ASM2136812v1 assembly for Staphylococcus aureus"
"GCA_021368155.1"	"ASM2136815v1 assembly for Staphylococcus aureus"
"GCA_015124975.1"	"ASM1512497v1 assembly for Bacteroides uniformis"
"GCA_021368235.1"	"ASM2136823v1 assembly for Staphylococcus aureus"
"GCA_021366515.1"	"ASM2136651v1 assembly for Staphylococcus aureus"
"GCA_021366525.1"	"ASM2136652v1 assembly for Staphylococcus hominis"
"GCA_021366535.1"	"ASM2136653v1 assembly for Staphylococcus aureus"
"GCA_021366575.1"	"ASM2136657v1 assembly for Staphylococcus aureus"
"GCA_021366655.1"	"ASM2136665v1 assembly for Staphylococcus aureus"
"GCA_021366675.1"	"ASM2136667v1 assembly for Staphylococcus cohnii"
"GCA_021366695.1"	"ASM2136669v1 assembly for Staphylococcus hominis"
"GCA_021366715.1"	"ASM2136671v1 assembly for Staphylococcus epidermidis"
"GCA_021366735.1"	"ASM2136673v1 assembly for Staphylococcus chromogenes"
"GCA_021366755.1"	"ASM2136675v1 assembly for Mammaliicoccus sciuri"
"GCA_021366775.1"	"ASM2136677v1 assembly for Staphylococcus chromogenes"
"GCA_021366795.1"	"ASM2136679v1 assembly for Macrococcoides caseolyticum"
"GCA_021366815.1"	"ASM2136681v1 assembly for Staphylococcus warneri"
"GCA_021366835.1"	"ASM2136683v1 assembly for Staphylococcus epidermidis"
"GCA_021366955.1"	"ASM2136695v1 assembly for Staphylococcus haemolyticus"
"GCA_021366975.1"	"ASM2136697v1 assembly for Staphylococcus hominis"
"GCA_021366995.1"	"ASM2136699v1 assembly for Staphylococcus haemolyticus"
"GCA_021367015.1"	"ASM2136701v1 assembly for Staphylococcus aureus"
"GCA_021367055.1"	"ASM2136705v1 assembly for Staphylococcus aureus"
"GCA_021367075.1"	"ASM2136707v1 assembly for Staphylococcus aureus"
"GCA_021367115.1"	"ASM2136711v1 assembly for Staphylococcus haemolyticus"
"GCA_021367135.1"	"ASM2136713v1 assembly for Staphylococcus warneri"
"GCA_021367275.1"	"ASM2136727v1 assembly for Staphylococcus aureus"
"GCA_021367285.1"	"ASM2136728v1 assembly for Staphylococcus aureus"
"GCA_021367315.1"	"ASM2136731v1 assembly for Staphylococcus aureus"
"GCA_021367335.1"	"ASM2136733v1 assembly for Staphylococcus aureus"
"GCA_021367355.1"	"ASM2136735v1 assembly for Staphylococcus aureus"
"GCA_021367375.1"	"ASM2136737v1 assembly for Staphylococcus aureus"
"GCA_021367385.1"	"ASM2136738v1 assembly for Staphylococcus aureus"
"GCA_021367395.1"	"ASM2136739v1 assembly for Staphylococcus aureus"
"GCA_021367475.1"	"ASM2136747v1 assembly for Mammaliicoccus sciuri"
"GCA_021367495.1"	"ASM2136749v1 assembly for Staphylococcus haemolyticus"
"GCA_021367505.1"	"ASM2136750v1 assembly for Staphylococcus haemolyticus"
"GCA_021367535.1"	"ASM2136753v1 assembly for Staphylococcus equorum"
"GCA_021367655.1"	"ASM2136765v1 assembly for Staphylococcus arlettae"
"GCA_021367675.1"	"ASM2136767v1 assembly for Staphylococcus epidermidis"
"GCA_021367695.1"	"ASM2136769v1 assembly for Staphylococcus simulans"
"GCA_021367705.1"	"ASM2136770v1 assembly for Staphylococcus chromogenes"
"GCA_021366585.1"	"ASM2136658v1 assembly for Staphylococcus aureus"
"GCA_021366615.1"	"ASM2136661v1 assembly for Staphylococcus xylosus"
"GCA_021366635.1"	"ASM2136663v1 assembly for Staphylococcus hominis"
"GCA_021366845.1"	"ASM2136684v1 assembly for Staphylococcus pseudoxylosus"
"GCA_021366875.1"	"ASM2136687v1 assembly for Staphylococcus aureus"
"GCA_021366885.1"	"ASM2136688v1 assembly for Staphylococcus epidermidis"
"GCA_021366915.1"	"ASM2136691v1 assembly for Staphylococcus aureus"
"GCA_021366935.1"	"ASM2136693v1 assembly for Staphylococcus haemolyticus"
"GCA_900096485.1"	"Pet-CM3-4 assembly for Cronobacter phage Pet-CM3-4"
"GCA_021384765.1"	"ASM2138476v1 assembly for Staphylococcus aureus"
"GCA_021384785.1"	"ASM2138478v1 assembly for Staphylococcus epidermidis"
"GCA_021384795.1"	"ASM2138479v1 assembly for Staphylococcus aureus"
"GCA_015124985.1"	"ASM1512498v1 assembly for Bacteroides uniformis"
"GCA_021367035.1"	"ASM2136703v1 assembly for Mammaliicoccus sciuri"
"GCA_021367085.1"	"ASM2136708v1 assembly for Staphylococcus epidermidis"
"GCA_021367155.1"	"ASM2136715v1 assembly for Staphylococcus haemolyticus"
"GCA_021367175.1"	"ASM2136717v1 assembly for Staphylococcus devriesei"
"GCA_021367185.1"	"ASM2136718v1 assembly for Mammaliicoccus sciuri"
"GCA_021367215.1"	"ASM2136721v1 assembly for Staphylococcus devriesei"
"GCA_021367235.1"	"ASM2136723v1 assembly for Staphylococcus epidermidis"
"GCA_021367255.1"	"ASM2136725v1 assembly for Mammaliicoccus sciuri"
"GCA_021367405.1"	"ASM2136740v1 assembly for Staphylococcus aureus"
"GCA_021367455.1"	"ASM2136745v1 assembly for Staphylococcus aureus"
"GCA_021367555.1"	"ASM2136755v1 assembly for Staphylococcus equorum"
"GCA_021367575.1"	"ASM2136757v1 assembly for Staphylococcus chromogenes"
"GCA_021367585.1"	"ASM2136758v1 assembly for Staphylococcus auricularis"
"GCA_021367595.1"	"ASM2136759v1 assembly for Staphylococcus chromogenes"
"GCA_021367635.1"	"ASM2136763v1 assembly for Staphylococcus cohnii"
"GCA_021367725.1"	"ASM2136772v1 assembly for Staphylococcus haemolyticus"
"GCA_021367745.1"	"ASM2136774v1 assembly for Staphylococcus chromogenes"
"GCA_021367775.1"	"ASM2136777v1 assembly for Staphylococcus simulans"
"GCA_021367795.1"	"ASM2136779v1 assembly for Staphylococcus hyicus"
"GCA_021367815.1"	"ASM2136781v1 assembly for Staphylococcus epidermidis"
"GCA_021367835.1"	"ASM2136783v1 assembly for Staphylococcus aureus"
"GCA_021367845.1"	"ASM2136784v1 assembly for Staphylococcus aureus"
"GCA_021367875.1"	"ASM2136787v1 assembly for Staphylococcus aureus"
"GCA_021367915.1"	"ASM2136791v1 assembly for Staphylococcus aureus"
"GCA_021367955.1"	"ASM2136795v1 assembly for Staphylococcus aureus"
"GCA_021367975.1"	"ASM2136797v1 assembly for Staphylococcus saprophyticus"
"GCA_021368055.1"	"ASM2136805v1 assembly for Staphylococcus aureus"
"GCA_021368065.1"	"ASM2136806v1 assembly for Staphylococcus aureus"
"GCA_001412635.1"	"ASM141263v1 assembly for Streptococcus anginosus"
"GCA_900091925.1"	"3P1 assembly for Pseudomonas aeruginosa"
"GCA_900091935.1"	"PcyII-10a assembly for Pseudomonas aeruginosa"
"GCA_009671305.1"	"ASM967130v1 assembly for Escherichia phage vB_EcoS-26175I"
"GCA_009671365.1"	"ASM967136v1 assembly for Escherichia phage vB_EcoS-26175IV"
"GCA_009671385.1"	"ASM967138v1 assembly for Escherichia phage vB_EcoS-26175V"
"GCA_009671485.1"	"ASM967148v1 assembly for Escherichia phage vB_EcoS-2004III"
"GCA_009671505.1"	"ASM967150v1 assembly for Escherichia phage vB_EcoS-2004IV"
